FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,TotalGoals,GoalDiff,Over2.5,BTTS,HomeForm_5,HomeGF_5,HomeGA_5,HomexG_5,HomexGA_5,HomeShots_5,HomeShotsAgainst_5,HomeSOT_5,HomeSOTAgainst_5,HomeCorners_5,HomeCornersAgainst_5,HomeFouls_5,HomeFoulsAgainst_5,HomeYellows_5,HomeReds_5,AwayForm_5,AwayGF_5,AwayGA_5,AwayxG_5,AwayxGA_5,AwayShots_5,AwayShotsAgainst_5,AwaySOT_5,AwaySOTAgainst_5,AwayCorners_5,AwayCornersAgainst_5,AwayFouls_5,AwayFoulsAgainst_5,AwayYellows_5,AwayReds_5,H2H_Matches,H2H_HomeWins,H2H_AwayWins,H2H_Draws,H2H_HomeGoals,H2H_AwayGoals,Ref_AvgYellows,Ref_AvgReds,Ref_Strictness,Result_Num,Over1.5,Over3.5,HomeCleanSheet,AwayCleanSheet
0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1516,0,0,0,0,1.4489638983325237,1.4871944309535372,1.377796665047758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5200129638632314,1.5396289094150057,1.3334143574785284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,1,0,0,1,1
2,1,,,0,0,0,0,0,0,0,0,0,0,0,0,1516,3,1,1,1,1.4489638983325237,1.4871944309535372,1.377796665047758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5200129638632314,1.5396289094150057,1.3334143574785284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0,1,0,0,0
0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1516,0,0,0,0,1.4489638983325237,1.4871944309535372,1.377796665047758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5200129638632314,1.5396289094150057,1.3334143574785284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,1,0,0,1,1
1,2,,,0,0,0,0,0,0,0,0,0,0,0,0,1516,3,-1,1,1,1.4489638983325237,1.4871944309535372,1.377796665047758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5200129638632314,1.5396289094150057,1.3334143574785284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,2,1,0,0,0
1,2,,,0,0,0,0,0,0,0,0,0,0,0,0,1516,3,-1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0.0,0.0,0.0,0.0,0.5,2,1,0,0,0
4,1,,,0,0,0,0,0,0,0,0,0,0,0,0,1516,5,3,1,1,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,2.0,1.0,0.0,0.0,0.5,0,1,1,0,0
1,2,,,0,0,0,0,0,0,0,0,0,0,0,0,1516,3,-1,1,1,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1.0,2.0,0.0,0.0,0.5,2,1,0,0,0
1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,1516,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0.0,0.0,0.0,0.0,0.5,1,1,0,0,0
0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1516,0,0,0,0,1.4489638983325237,1.4871944309535372,1.377796665047758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5200129638632314,1.5396289094150057,1.3334143574785284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,1,0,0,1,1
1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1516,1,1,0,0,1.4489638983325237,1.4871944309535372,1.377796665047758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5200129638632314,1.5396289094150057,1.3334143574785284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0,0,0,1,0
5,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1516,5,5,1,0,1.4489638983325237,1.4871944309535372,1.377796665047758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0,1,1,1,0
2,1,,,0,0,0,0,0,0,0,0,0,0,0,0,1516,3,1,1,1,1.4489638983325237,1.4871944309535372,1.377796665047758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5200129638632314,1.5396289094150057,1.3334143574785284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0,1,0,0,0
0,2,,,0,0,0,0,0,0,0,0,0,0,0,0,1516,2,-2,0,0,1.4489638983325237,1.4871944309535372,1.377796665047758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5200129638632314,1.5396289094150057,1.3334143574785284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,2,1,0,0,1
1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1516,1,1,0,0,1.4489638983325237,1.4871944309535372,1.377796665047758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5200129638632314,1.5396289094150057,1.3334143574785284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0,0,0,1,0
0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,1516,1,-1,0,0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5200129638632314,1.5396289094150057,1.3334143574785284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,2,0,0,0,1
1,3,,,0,0,0,0,0,0,0,0,0,0,0,0,1516,4,-2,1,1,1.4489638983325237,1.4871944309535372,1.377796665047758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5200129638632314,1.5396289094150057,1.3334143574785284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,2,1,1,0,0
0,2,,,0,0,0,0,0,0,0,0,0,0,0,0,1516,2,-2,0,0,1.4489638983325237,1.4871944309535372,1.377796665047758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5200129638632314,1.5396289094150057,1.3334143574785284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,2,1,0,0,1
1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1516,1,1,0,0,1.4489638983325237,1.4871944309535372,1.377796665047758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0,0,0,1,0
0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,1516,1,-1,0,0,1.4489638983325237,1.4871944309535372,1.377796665047758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5200129638632314,1.5396289094150057,1.3334143574785284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,2,0,0,0,1
