FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,TotalGoals,GoalDiff,Over2.5,BTTS,HomeForm_5,HomeGF_5,HomeGA_5,Home_xG_5,Home_xGA_5,AwayForm_5,AwayGF_5,AwayGA_5,Away_xG_5,Away_xGA_5,H2H_Matches,H2H_HomeWins,H2H_AwayWins,H2H_Draws,H2H_HomeGoals,H2H_AwayGoals,Ref_AvgYellows,Ref_AvgReds,Ref_Strictness,Result_Num,Over1.5,Over3.5,HomeCleanSheet,AwayCleanSheet,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTGD,ATGD,DiffPts,DiffFormPts,DiffFormGoals,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5
0,2,0,1,10,10,2,2,16,11,3,5,1,2,0,0,2223,2,-2,0,0,,,,,,,,,,,0,0,0,0,0.0,0.0,3.770114942528736,0.1494252873563218,0.6489832007073386,2,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2,2,1,0,9,11,3,4,7,9,4,4,2,0,0,0,2223,4,0,1,1,,,,,,,,,,,0,0,0,0,0.0,0.0,3.82089552238806,0.0895522388059701,0.6291618828932262,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2,0,1,0,7,15,3,2,18,16,5,5,3,3,0,0,2223,2,2,0,0,,,,,,,,,,,0,0,0,0,0.0,0.0,4.166666666666667,0.074074074074074,0.6752136752136753,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2,1,1,1,12,15,4,6,13,9,6,4,2,0,0,0,2223,3,1,1,1,,,,,,,,,,,0,0,0,0,0.0,0.0,4.171428571428572,0.1285714285714285,0.701098901098901,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2,0,0,0,23,5,10,0,9,14,11,1,0,3,0,0,2223,2,2,0,0,,,,,,,,,,,0,0,0,0,0.0,0.0,4.116883116883117,0.0779220779220779,0.6693306693306694,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
4,1,2,1,18,10,8,2,11,6,10,2,3,0,0,0,2223,5,3,1,1,,,,,,,,,,,0,0,0,0,0.0,0.0,3.5384615384615383,0.1538461538461538,0.6153846153846154,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0,1,0,1,8,15,4,6,14,11,4,16,3,2,0,0,2223,1,-1,0,0,,,,,,,,,,,0,0,0,0,0.0,0.0,4.112903225806452,0.1129032258064516,0.684863523573201,2,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2,2,1,0,14,8,5,3,6,5,5,6,0,0,0,0,2223,4,0,1,1,,,,,,,,,,,0,0,0,0,0.0,0.0,3.849056603773585,0.0377358490566037,0.6095791001451378,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1,2,0,2,17,15,5,4,7,12,6,2,4,1,0,0,2223,3,-1,1,1,,,,,,,,,,,0,0,0,0,0.0,0.0,3.636363636363636,0.0909090909090909,0.6013986013986015,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0,2,0,1,6,14,1,2,8,4,1,4,0,1,0,0,2223,2,-2,0,0,,,,,,,,,,,0,0,0,0,0.0,0.0,3.6582278481012658,0.1392405063291139,0.6270691333982474,2,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2,1,1,1,12,10,5,3,16,9,5,2,5,3,0,0,2223,3,1,1,1,,,,,,,,,,,0,0,0,0,0.0,0.0,4.756140350877193,0.2631578947368421,0.8531713900134954,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
