FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,TotalGoals,GoalDiff,Over2.5,BTTS,HomeForm_5,HomeGF_5,HomeGA_5,HomexG_5,HomexGA_5,HomeShots_5,HomeShotsAgainst_5,HomeSOT_5,HomeSOTAgainst_5,HomeCorners_5,HomeCornersAgainst_5,HomeFouls_5,HomeFoulsAgainst_5,HomeYellows_5,HomeReds_5,AwayForm_5,AwayGF_5,AwayGA_5,AwayxG_5,AwayxGA_5,AwayShots_5,AwayShotsAgainst_5,AwaySOT_5,AwaySOTAgainst_5,AwayCorners_5,AwayCornersAgainst_5,AwayFouls_5,AwayFoulsAgainst_5,AwayYellows_5,AwayReds_5,H2H_Matches,H2H_HomeWins,H2H_AwayWins,H2H_Draws,H2H_HomeGoals,H2H_AwayGoals,Ref_AvgYellows,Ref_AvgReds,Ref_Strictness,Result_Num,Over1.5,Over3.5,HomeCleanSheet,AwayCleanSheet
0,2,0.0,1.0,10.0,10.0,2.0,2.0,16.0,11.0,3.0,5.0,1.0,2.0,0.0,0.0,2223,2,-2,0,0,1.355028762880081,1.3977242556419498,1.42083254314432,0.0,0.0,12.51314874517985,12.75380871104368,4.391004488273595,4.472226436563626,4.789983564068525,4.872833301725773,11.971436247550415,11.934458562488148,2.096697009924774,0.09833112080409634,1.3924291318653506,1.4260725132877752,1.3971810933940776,0.0,0.0,12.764939255884586,12.512908124525437,4.493159959503923,4.401328777524677,4.888629460895976,4.802097570235383,11.918023917995445,11.961285117691725,2.0634238167552517,0.09720640344216655,0,0,0,0,0.0,0.0,3.7701149425287355,0.14942528735632185,0.6489832007073386,2,1,0,0,1
2,1,2.0,1.0,11.0,8.0,6.0,4.0,10.0,18.0,4.0,3.0,1.0,6.0,1.0,1.0,2223,3,1,1,1,1.355028762880081,1.3977242556419498,1.42083254314432,0.0,0.0,12.51314874517985,12.75380871104368,4.391004488273595,4.472226436563626,4.789983564068525,4.872833301725773,11.971436247550415,11.934458562488148,2.096697009924774,0.09833112080409634,1.3924291318653506,1.4260725132877752,1.3971810933940776,0.0,0.0,12.764939255884586,12.512908124525437,4.493159959503923,4.401328777524677,4.888629460895976,4.802097570235383,11.918023917995445,11.961285117691725,2.0634238167552517,0.09720640344216655,0,0,0,0,0.0,0.0,4.191646778042959,0.21408114558472555,0.7436754176610978,0,1,0,0,0
1,6,0.0,5.0,8.0,23.0,2.0,10.0,10.0,11.0,5.0,6.0,2.0,0.0,0.0,0.0,2223,7,-5,1,1,1.355028762880081,1.3977242556419498,1.42083254314432,0.0,0.0,12.51314874517985,12.75380871104368,4.391004488273595,4.472226436563626,4.789983564068525,4.872833301725773,11.971436247550415,11.934458562488148,2.096697009924774,0.09833112080409634,1.3924291318653506,1.4260725132877752,1.3971810933940776,0.0,0.0,12.764939255884586,12.512908124525437,4.493159959503923,4.401328777524677,4.888629460895976,4.802097570235383,11.918023917995445,11.961285117691725,2.0634238167552517,0.09720640344216655,0,0,0,0,0.0,0.0,4.191646778042959,0.21408114558472555,0.7436754176610978,2,1,1,0,0
2,1,1.0,1.0,12.0,15.0,4.0,6.0,13.0,9.0,6.0,4.0,2.0,0.0,0.0,0.0,2223,3,1,1,1,1.355028762880081,1.3977242556419498,1.42083254314432,0.0,0.0,12.51314874517985,12.75380871104368,4.391004488273595,4.472226436563626,4.789983564068525,4.872833301725773,11.971436247550415,11.934458562488148,2.096697009924774,0.09833112080409634,1.3924291318653506,1.4260725132877752,1.3971810933940776,0.0,0.0,12.764939255884586,12.512908124525437,4.493159959503923,4.401328777524677,4.888629460895976,4.802097570235383,11.918023917995445,11.961285117691725,2.0634238167552517,0.09720640344216655,0,0,0,0,0.0,0.0,4.171428571428572,0.12857142857142856,0.701098901098901,0,1,0,0,0
3,1,1.0,0.0,18.0,9.0,8.0,3.0,23.0,17.0,5.0,4.0,2.0,3.0,0.0,0.0,2223,4,2,1,1,1.355028762880081,1.3977242556419498,1.42083254314432,0.0,0.0,12.51314874517985,12.75380871104368,4.391004488273595,4.472226436563626,4.789983564068525,4.872833301725773,11.971436247550415,11.934458562488148,2.096697009924774,0.09833112080409634,1.3924291318653506,1.4260725132877752,1.3971810933940776,0.0,0.0,12.764939255884586,12.512908124525437,4.493159959503923,4.401328777524677,4.888629460895976,4.802097570235383,11.918023917995445,11.961285117691725,2.0634238167552517,0.09720640344216655,0,0,0,0,0.0,0.0,4.191646778042959,0.21408114558472555,0.7436754176610978,0,1,1,0,0
2,2,1.0,2.0,13.0,10.0,3.0,5.0,11.0,14.0,2.0,5.0,2.0,2.0,0.0,0.0,2223,4,0,1,1,1.355028762880081,1.3977242556419498,1.42083254314432,0.0,0.0,12.51314874517985,12.75380871104368,4.391004488273595,4.472226436563626,4.789983564068525,4.872833301725773,11.971436247550415,11.934458562488148,2.096697009924774,0.09833112080409634,1.3924291318653506,1.4260725132877752,1.3971810933940776,0.0,0.0,12.764939255884586,12.512908124525437,4.493159959503923,4.401328777524677,4.888629460895976,4.802097570235383,11.918023917995445,11.961285117691725,2.0634238167552517,0.09720640344216655,0,0,0,0,0.0,0.0,4.191646778042959,0.21408114558472555,0.7436754176610978,1,1,1,0,0
1,0,1.0,0.0,13.0,8.0,4.0,3.0,14.0,13.0,3.0,3.0,2.0,4.0,0.0,1.0,2223,1,1,0,0,1.355028762880081,1.3977242556419498,1.42083254314432,0.0,0.0,12.51314874517985,12.75380871104368,4.391004488273595,4.472226436563626,4.789983564068525,4.872833301725773,11.971436247550415,11.934458562488148,2.096697009924774,0.09833112080409634,1.3924291318653506,1.4260725132877752,1.3971810933940776,0.0,0.0,12.764939255884586,12.512908124525437,4.493159959503923,4.401328777524677,4.888629460895976,4.802097570235383,11.918023917995445,11.961285117691725,2.0634238167552517,0.09720640344216655,0,0,0,0,0.0,0.0,4.191646778042959,0.21408114558472555,0.7436754176610978,0,0,0,1,0
3,1,1.0,1.0,18.0,2.0,8.0,1.0,18.0,12.0,4.0,2.0,1.0,4.0,0.0,1.0,2223,4,2,1,1,1.355028762880081,1.3977242556419498,1.42083254314432,0.0,0.0,12.51314874517985,12.75380871104368,4.391004488273595,4.472226436563626,4.789983564068525,4.872833301725773,11.971436247550415,11.934458562488148,2.096697009924774,0.09833112080409634,1.3924291318653506,1.4260725132877752,1.3971810933940776,0.0,0.0,12.764939255884586,12.512908124525437,4.493159959503923,4.401328777524677,4.888629460895976,4.802097570235383,11.918023917995445,11.961285117691725,2.0634238167552517,0.09720640344216655,0,0,0,0,0.0,0.0,4.191646778042959,0.21408114558472555,0.7436754176610978,0,1,1,0,0
2,0,1.0,0.0,7.0,15.0,3.0,2.0,18.0,16.0,5.0,5.0,3.0,3.0,0.0,0.0,2223,2,2,0,0,1.355028762880081,1.3977242556419498,1.42083254314432,0.0,0.0,12.51314874517985,12.75380871104368,4.391004488273595,4.472226436563626,4.789983564068525,4.872833301725773,11.971436247550415,11.934458562488148,2.096697009924774,0.09833112080409634,1.3924291318653506,1.4260725132877752,1.3971810933940776,0.0,0.0,12.764939255884586,12.512908124525437,4.493159959503923,4.401328777524677,4.888629460895976,4.802097570235383,11.918023917995445,11.961285117691725,2.0634238167552517,0.09720640344216655,0,0,0,0,0.0,0.0,4.166666666666667,0.07407407407407407,0.6752136752136753,0,1,0,1,0
0,4,0.0,0.0,10.0,19.0,2.0,7.0,13.0,13.0,5.0,8.0,0.0,0.0,0.0,0.0,2223,4,-4,1,0,1.355028762880081,1.3977242556419498,1.42083254314432,0.0,0.0,12.51314874517985,12.75380871104368,4.391004488273595,4.472226436563626,4.789983564068525,4.872833301725773,11.971436247550415,11.934458562488148,2.096697009924774,0.09833112080409634,1.3924291318653506,1.4260725132877752,1.3971810933940776,0.0,0.0,12.764939255884586,12.512908124525437,4.493159959503923,4.401328777524677,4.888629460895976,4.802097570235383,11.918023917995445,11.961285117691725,2.0634238167552517,0.09720640344216655,0,0,0,0,0.0,0.0,4.191646778042959,0.21408114558472555,0.7436754176610978,2,1,1,0,1
