Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,Home_xG,Away_xG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,League,Div
2021-09-14,Young Boys,Manchester Utd,2,1,H,François Letexier,0.0,0.0,13.67,10.88,4.17,5.0,14.5,10.0,21.83,13.62,1.83,2.12,0.0,0.12,2122,Champions_League,CL
2021-09-14,Sevilla,RB Salzburg,1,1,D,Aliaksei Kulbakou,0.0,0.0,11.5,10.5,3.33,4.25,12.5,16.12,25.0,14.12,3.33,2.0,0.33,0.0,2122,Champions_League,CL
2021-09-14,Chelsea,Zenit,1,0,H,Bartosz Frankowski,0.0,0.0,16.6,13.17,5.4,4.17,13.4,8.33,20.2,18.67,1.4,1.5,0.0,0.17,2122,Champions_League,CL
2021-09-14,Villarreal,Atalanta,2,2,D,Clément Turpin,0.0,0.0,9.58,13.67,3.67,5.17,9.58,11.33,10.0,17.0,2.17,1.5,0.17,0.0,2122,Champions_League,CL
2021-09-14,Lille,Wolfsburg,0,0,D,Danny Makkelie,0.0,0.0,11.0,7.0,2.5,1.83,11.12,14.83,13.75,11.67,3.25,4.17,0.0,0.33,2122,Champions_League,CL
2021-09-14,Barcelona,Bayern Munich,0,3,A,Michael Oliver,0.0,0.0,10.0,18.6,1.83,6.6,13.83,11.5,19.67,20.1,2.17,1.2,0.17,0.0,2122,Champions_League,CL
2021-09-14,Malmö,Juventus,0,3,A,Artur Dias,0.0,0.0,6.0,12.75,1.17,4.25,12.33,9.75,8.33,16.38,2.33,1.25,0.17,0.0,2122,Champions_League,CL
2021-09-14,Dynamo Kyiv,Benfica,0,0,D,Anthony Taylor,0.0,0.0,8.0,9.2,2.83,3.4,9.0,11.0,10.67,10.7,1.67,2.0,0.0,0.0,2122,Champions_League,CL
2021-09-15,Beşiktaş,Dortmund,1,2,A,Antonio Matéu Lahoz,0.0,0.0,8.0,13.83,1.83,4.5,10.5,10.67,12.83,15.33,2.67,1.33,0.33,0.33,2122,Champions_League,CL
2021-09-15,FC Sheriff Tiraspol,Shakhtar Donetsk,2,0,H,Deniz Aytekin,0.0,0.0,9.0,13.17,3.5,3.33,10.67,10.5,12.0,12.17,2.17,0.83,0.0,0.0,2122,Champions_League,CL
2021-09-15,Liverpool,Milan,3,2,H,Szymon Marciniak,0.0,0.0,17.08,8.0,6.08,2.67,11.62,12.17,20.46,13.17,1.15,2.83,0.0,0.17,2122,Champions_League,CL
2021-09-15,Sporting CP,Ajax,1,5,A,José Sánchez,0.0,0.0,9.38,16.0,3.75,6.0,10.62,14.5,12.12,18.25,2.62,1.88,0.0,0.0,2122,Champions_League,CL
2021-09-15,Manchester City,RB Leipzig,6,3,H,Serdar Gözübüyük,0.0,0.0,15.83,14.5,5.42,5.17,10.5,16.0,17.75,14.17,1.83,2.17,0.08,0.17,2122,Champions_League,CL
2021-09-15,Inter,Real Madrid,0,1,A,Daniel Siebert,0.0,0.0,16.62,13.77,4.75,5.08,10.62,9.23,22.25,13.62,1.5,1.92,0.25,0.0,2122,Champions_League,CL
2021-09-15,Club Brugge,Paris Saint-Germain,1,1,D,Sandro Schärer,0.0,0.0,10.17,10.62,4.33,4.38,10.33,9.5,15.67,7.5,1.83,2.62,0.0,0.0,2122,Champions_League,CL
2021-09-15,Atlético Madrid,Porto,0,0,D,Ovidiu Hațegan,0.0,0.0,9.5,10.67,2.5,2.83,12.8,14.67,11.3,14.33,2.4,2.83,0.4,0.5,2122,Champions_League,CL
2021-09-28,Ajax,Beşiktaş,2,0,H,Benoît Bastien,0.0,0.0,16.0,8.0,6.0,1.83,14.5,10.5,18.25,12.83,1.88,2.67,0.0,0.33,2122,Champions_League,CL
2021-09-28,Shakhtar Donetsk,Inter,0,0,D,István Kovács,0.0,0.0,13.17,16.62,3.33,4.75,10.5,10.62,12.17,22.25,0.83,1.5,0.0,0.25,2122,Champions_League,CL
2021-09-28,Porto,Liverpool,1,5,A,Sergey Karasev,0.0,0.0,10.67,17.08,2.83,6.08,14.67,11.62,14.33,20.46,2.83,1.15,0.5,0.0,2122,Champions_League,CL
2021-09-28,Dortmund,Sporting CP,1,0,H,Srdjan Stojanovic,0.0,0.0,13.83,9.38,4.5,3.75,10.67,10.62,15.33,12.12,1.33,2.62,0.33,0.0,2122,Champions_League,CL
2021-09-28,RB Leipzig,Club Brugge,1,2,A,Slavko Vinčič,0.0,0.0,14.5,10.17,5.17,4.33,16.0,10.33,14.17,15.67,2.17,1.83,0.17,0.0,2122,Champions_League,CL
2021-09-28,Real Madrid,FC Sheriff Tiraspol,1,2,A,Lawrence Visser,0.0,0.0,13.77,9.0,5.08,3.5,9.23,10.67,13.62,12.0,1.92,2.17,0.0,0.0,2122,Champions_League,CL
2021-09-28,Paris Saint-Germain,Manchester City,2,0,H,Carlos del Cerro,0.0,0.0,10.62,15.83,4.38,5.42,9.5,10.5,7.5,17.75,2.62,1.83,0.0,0.08,2122,Champions_League,CL
2021-09-28,Milan,Atlético Madrid,1,2,A,Cüneyt Çakιr,0.0,0.0,8.0,9.5,2.67,2.5,12.17,12.8,13.17,11.3,2.83,2.4,0.17,0.4,2122,Champions_League,CL
2021-09-29,Atalanta,Young Boys,1,0,H,Felix Brych,0.0,0.0,13.67,13.67,5.17,4.17,11.33,14.5,17.0,21.83,1.5,1.83,0.0,0.0,2122,Champions_League,CL
2021-09-29,Zenit,Malmö,4,0,H,Anastasios Sidiropoulos,0.0,0.0,13.17,6.0,4.17,1.17,8.33,12.33,18.67,8.33,1.5,2.33,0.17,0.17,2122,Champions_League,CL
2021-09-29,Benfica,Barcelona,3,0,H,Daniele Orsato,0.0,0.0,9.2,10.0,3.4,1.83,11.0,13.83,10.7,19.67,2.0,2.17,0.0,0.17,2122,Champions_League,CL
2021-09-29,Manchester Utd,Villarreal,2,1,H,Felix Zwayer,0.0,0.0,10.88,9.58,5.0,3.67,10.0,9.58,13.62,10.0,2.12,2.17,0.12,0.17,2122,Champions_League,CL
2021-09-29,Bayern Munich,Dynamo Kyiv,5,0,H,Marco Guida,0.0,0.0,18.6,8.0,6.6,2.83,11.5,9.0,20.1,10.67,1.2,1.67,0.0,0.0,2122,Champions_League,CL
2021-09-29,RB Salzburg,Lille,2,1,H,Halil Umut Meler,0.0,0.0,10.5,11.0,4.25,2.5,16.12,11.12,14.12,13.75,2.0,3.25,0.0,0.0,2122,Champions_League,CL
2021-09-29,Juventus,Chelsea,1,0,H,Jesús Gil,0.0,0.0,12.75,16.6,4.25,5.4,9.75,13.4,16.38,20.2,1.25,1.4,0.0,0.0,2122,Champions_League,CL
2021-09-29,Wolfsburg,Sevilla,1,1,D,Georgi Kabakov,0.0,0.0,7.0,11.5,1.83,3.33,14.83,12.5,11.67,25.0,4.17,3.33,0.33,0.33,2122,Champions_League,CL
2021-10-19,Club Brugge,Manchester City,1,5,A,István Kovács,0.0,0.0,10.17,15.83,4.33,5.42,10.33,10.5,15.67,17.75,1.83,1.83,0.0,0.08,2122,Champions_League,CL
2021-10-19,Beşiktaş,Sporting CP,1,4,A,Slavko Vinčič,0.0,0.0,8.0,9.38,1.83,3.75,10.5,10.62,12.83,12.12,2.67,2.62,0.33,0.0,2122,Champions_League,CL
2021-10-19,Porto,Milan,1,0,H,Felix Brych,0.0,0.0,10.67,8.0,2.83,2.67,14.67,12.17,14.33,13.17,2.83,2.83,0.5,0.17,2122,Champions_League,CL
2021-10-19,Inter,FC Sheriff Tiraspol,3,1,H,Danny Makkelie,0.0,0.0,16.62,9.0,4.75,3.5,10.62,10.67,22.25,12.0,1.5,2.17,0.25,0.0,2122,Champions_League,CL
2021-10-19,Paris Saint-Germain,RB Leipzig,3,2,H,Marco Guida,0.0,0.0,10.62,14.5,4.38,5.17,9.5,16.0,7.5,14.17,2.62,2.17,0.0,0.17,2122,Champions_League,CL
2021-10-19,Ajax,Dortmund,4,0,H,Jesús Gil,0.0,0.0,16.0,13.83,6.0,4.5,14.5,10.67,18.25,15.33,1.88,1.33,0.0,0.33,2122,Champions_League,CL
2021-10-19,Atlético Madrid,Liverpool,2,3,A,Daniel Siebert,0.0,0.0,9.5,17.08,2.5,6.08,12.8,11.62,11.3,20.46,2.4,1.15,0.4,0.0,2122,Champions_League,CL
2021-10-19,Shakhtar Donetsk,Real Madrid,0,5,A,Srđan Jovanović,0.0,0.0,13.17,13.77,3.33,5.08,10.5,9.23,12.17,13.62,0.83,1.92,0.0,0.0,2122,Champions_League,CL
2021-10-20,Barcelona,Dynamo Kyiv,1,0,H,Clément Turpin,0.0,0.0,10.0,8.0,1.83,2.83,13.83,9.0,19.67,10.67,2.17,1.67,0.17,0.0,2122,Champions_League,CL
2021-10-20,RB Salzburg,Wolfsburg,3,1,H,Daniele Orsato,0.0,0.0,10.5,7.0,4.25,1.83,16.12,14.83,14.12,11.67,2.0,4.17,0.0,0.33,2122,Champions_League,CL
2021-10-20,Manchester Utd,Atalanta,3,2,H,Szymon Marciniak,0.0,0.0,10.88,13.67,5.0,5.17,10.0,11.33,13.62,17.0,2.12,1.5,0.12,0.0,2122,Champions_League,CL
2021-10-20,Benfica,Bayern Munich,0,4,A,Ovidiu Hațegan,0.0,0.0,9.2,18.6,3.4,6.6,11.0,11.5,10.7,20.1,2.0,1.2,0.0,0.0,2122,Champions_League,CL
2021-10-20,Chelsea,Malmö,4,0,H,François Letexier,0.0,0.0,16.6,6.0,5.4,1.17,13.4,12.33,20.2,8.33,1.4,2.33,0.0,0.17,2122,Champions_League,CL
2021-10-20,Young Boys,Villarreal,1,4,A,Sergey Karasev,0.0,0.0,13.67,9.58,4.17,3.67,14.5,9.58,21.83,10.0,1.83,2.17,0.0,0.17,2122,Champions_League,CL
2021-10-20,Lille,Sevilla,0,0,D,Michael Oliver,0.0,0.0,11.0,11.5,2.5,3.33,11.12,12.5,13.75,25.0,3.25,3.33,0.0,0.33,2122,Champions_League,CL
2021-10-20,Zenit,Juventus,0,1,A,Sandro Schärer,0.0,0.0,13.17,12.75,4.17,4.25,8.33,9.75,18.67,16.38,1.5,1.25,0.17,0.0,2122,Champions_League,CL
2021-11-02,Wolfsburg,RB Salzburg,2,1,H,Artur Dias,0.0,0.0,7.0,10.5,1.83,4.25,14.83,16.12,11.67,14.12,4.17,2.0,0.33,0.0,2122,Champions_League,CL
2021-11-02,Malmö,Chelsea,0,1,A,Felix Brych,0.0,0.0,6.0,16.6,1.17,5.4,12.33,13.4,8.33,20.2,2.33,1.4,0.17,0.0,2122,Champions_League,CL
2021-11-02,Villarreal,Young Boys,2,0,H,Serdar Gözübüyük,0.0,0.0,9.58,13.67,3.67,4.17,9.58,14.5,10.0,21.83,2.17,1.83,0.17,0.0,2122,Champions_League,CL
2021-11-02,Bayern Munich,Benfica,5,2,H,Szymon Marciniak,0.0,0.0,18.6,9.2,6.6,3.4,11.5,11.0,20.1,10.7,1.2,2.0,0.0,0.0,2122,Champions_League,CL
2021-11-02,Juventus,Zenit,4,2,H,Alejandro Hernández,0.0,0.0,12.75,13.17,4.25,4.17,9.75,8.33,16.38,18.67,1.25,1.5,0.0,0.17,2122,Champions_League,CL
2021-11-02,Atalanta,Manchester Utd,2,2,D,Slavko Vinčič,0.0,0.0,13.67,10.88,5.17,5.0,11.33,10.0,17.0,13.62,1.5,2.12,0.0,0.12,2122,Champions_League,CL
2021-11-02,Sevilla,Lille,1,2,A,István Kovács,0.0,0.0,11.5,11.0,3.33,2.5,12.5,11.12,25.0,13.75,3.33,3.25,0.33,0.0,2122,Champions_League,CL
2021-11-02,Dynamo Kyiv,Barcelona,0,1,A,Ovidiu Hațegan,0.0,0.0,8.0,10.0,2.83,1.83,9.0,13.83,10.67,19.67,1.67,2.17,0.0,0.17,2122,Champions_League,CL
2021-11-03,Milan,Porto,1,1,D,Clément Turpin,0.0,0.0,8.0,10.67,2.67,2.83,12.17,14.67,13.17,14.33,2.83,2.83,0.17,0.5,2122,Champions_League,CL
2021-11-03,Real Madrid,Shakhtar Donetsk,2,1,H,Benoît Bastien,0.0,0.0,13.77,13.17,5.08,3.33,9.23,10.5,13.62,12.17,1.92,0.83,0.0,0.0,2122,Champions_League,CL
2021-11-03,Liverpool,Atlético Madrid,2,0,H,Danny Makkelie,0.0,0.0,17.08,9.5,6.08,2.5,11.62,12.8,20.46,11.3,1.15,2.4,0.0,0.4,2122,Champions_League,CL
2021-11-03,Sporting CP,Beşiktaş,4,0,H,Sergey Karasev,0.0,0.0,9.38,8.0,3.75,1.83,10.62,10.5,12.12,12.83,2.62,2.67,0.0,0.33,2122,Champions_League,CL
2021-11-03,Manchester City,Club Brugge,4,1,H,Antonio Matéu Lahoz,0.0,0.0,15.83,10.17,5.42,4.33,10.5,10.33,17.75,15.67,1.83,1.83,0.08,0.0,2122,Champions_League,CL
2021-11-03,Dortmund,Ajax,1,3,A,Michael Oliver,0.0,0.0,13.83,16.0,4.5,6.0,10.67,14.5,15.33,18.25,1.33,1.88,0.33,0.0,2122,Champions_League,CL
2021-11-03,RB Leipzig,Paris Saint-Germain,2,2,D,Andreas Ekberg,0.0,0.0,14.5,10.62,5.17,4.38,16.0,9.5,14.17,7.5,2.17,2.62,0.17,0.0,2122,Champions_League,CL
2021-11-03,FC Sheriff Tiraspol,Inter,1,3,A,Felix Zwayer,0.0,0.0,9.0,16.62,3.5,4.75,10.67,10.62,12.0,22.25,2.17,1.5,0.0,0.25,2122,Champions_League,CL
2021-11-23,Villarreal,Manchester Utd,0,2,A,Felix Brych,0.0,0.0,9.58,10.88,3.67,5.0,9.58,10.0,10.0,13.62,2.17,2.12,0.17,0.12,2122,Champions_League,CL
2021-11-23,Dynamo Kyiv,Bayern Munich,1,2,A,Halil Umut Meler,0.0,0.0,8.0,18.6,2.83,6.6,9.0,11.5,10.67,20.1,1.67,1.2,0.0,0.0,2122,Champions_League,CL
2021-11-23,Chelsea,Juventus,4,0,H,Srđan Jovanović,0.0,0.0,16.6,12.75,5.4,4.25,13.4,9.75,20.2,16.38,1.4,1.25,0.0,0.0,2122,Champions_League,CL
2021-11-23,Malmö,Zenit,1,1,D,Andris Treimanis,0.0,0.0,6.0,13.17,1.17,4.17,12.33,8.33,8.33,18.67,2.33,1.5,0.17,0.17,2122,Champions_League,CL
2021-11-23,Sevilla,Wolfsburg,2,0,H,Cüneyt Çakιr,0.0,0.0,11.5,7.0,3.33,1.83,12.5,14.83,25.0,11.67,3.33,4.17,0.33,0.33,2122,Champions_League,CL
2021-11-23,Lille,RB Salzburg,1,0,H,Anthony Taylor,0.0,0.0,11.0,10.5,2.5,4.25,11.12,16.12,13.75,14.12,3.25,2.0,0.0,0.0,2122,Champions_League,CL
2021-11-23,Young Boys,Atalanta,3,3,D,Daniel Siebert,0.0,0.0,13.67,13.67,4.17,5.17,14.5,11.33,21.83,17.0,1.83,1.5,0.0,0.0,2122,Champions_League,CL
2021-11-23,Barcelona,Benfica,0,0,D,Sergey Karasev,0.0,0.0,10.0,9.2,1.83,3.4,13.83,11.0,19.67,10.7,2.17,2.0,0.17,0.0,2122,Champions_League,CL
2021-11-24,Inter,Shakhtar Donetsk,2,0,H,Ovidiu Hațegan,0.0,0.0,16.62,13.17,4.75,3.33,10.62,10.5,22.25,12.17,1.5,0.83,0.25,0.0,2122,Champions_League,CL
2021-11-24,Liverpool,Porto,2,0,H,Felix Zwayer,0.0,0.0,17.08,10.67,6.08,2.83,11.62,14.67,20.46,14.33,1.15,2.83,0.0,0.5,2122,Champions_League,CL
2021-11-24,Sporting CP,Dortmund,3,1,H,Carlos del Cerro,0.0,0.0,9.38,13.83,3.75,4.5,10.62,10.67,12.12,15.33,2.62,1.33,0.0,0.33,2122,Champions_League,CL
2021-11-24,Manchester City,Paris Saint-Germain,2,1,H,Daniele Orsato,0.0,0.0,15.83,10.62,5.42,4.38,10.5,9.5,17.75,7.5,1.83,2.62,0.08,0.0,2122,Champions_League,CL
2021-11-24,Beşiktaş,Ajax,1,2,A,Irfan Peljto,0.0,0.0,8.0,16.0,1.83,6.0,10.5,14.5,12.83,18.25,2.67,1.88,0.33,0.0,2122,Champions_League,CL
2021-11-24,Atlético Madrid,Milan,0,1,A,Slavko Vinčič,0.0,0.0,9.5,8.0,2.5,2.67,12.8,12.17,11.3,13.17,2.4,2.83,0.4,0.17,2122,Champions_League,CL
2021-11-24,Club Brugge,RB Leipzig,0,5,A,Davide Massa,0.0,0.0,10.17,14.5,4.33,5.17,10.33,16.0,15.67,14.17,1.83,2.17,0.0,0.17,2122,Champions_League,CL
2021-11-24,FC Sheriff Tiraspol,Real Madrid,0,3,A,Szymon Marciniak,0.0,0.0,9.0,13.77,3.5,5.08,10.67,9.23,12.0,13.62,2.17,1.92,0.0,0.0,2122,Champions_League,CL
2021-12-07,RB Leipzig,Manchester City,2,1,H,Sandro Schärer,0.0,0.0,14.5,15.83,5.17,5.42,16.0,10.5,14.17,17.75,2.17,1.83,0.17,0.08,2122,Champions_League,CL
2021-12-07,Paris Saint-Germain,Club Brugge,4,1,H,Jesús Gil,0.0,0.0,10.62,10.17,4.38,4.33,9.5,10.33,7.5,15.67,2.62,1.83,0.0,0.0,2122,Champions_League,CL
2021-12-07,Porto,Atlético Madrid,1,3,A,Clément Turpin,0.0,0.0,10.67,9.5,2.83,2.5,14.67,12.8,14.33,11.3,2.83,2.4,0.5,0.4,2122,Champions_League,CL
2021-12-07,Ajax,Sporting CP,4,2,H,Davide Massa,0.0,0.0,16.0,9.38,6.0,3.75,14.5,10.62,18.25,12.12,1.88,2.62,0.0,0.0,2122,Champions_League,CL
2021-12-07,Real Madrid,Inter,2,0,H,Felix Brych,0.0,0.0,13.77,16.62,5.08,4.75,9.23,10.62,13.62,22.25,1.92,1.5,0.0,0.25,2122,Champions_League,CL
2021-12-07,Dortmund,Beşiktaş,5,0,H,François Letexier,0.0,0.0,13.83,8.0,4.5,1.83,10.67,10.5,15.33,12.83,1.33,2.67,0.33,0.33,2122,Champions_League,CL
2021-12-07,Milan,Liverpool,1,2,A,Danny Makkelie,0.0,0.0,8.0,17.08,2.67,6.08,12.17,11.62,13.17,20.46,2.83,1.15,0.17,0.0,2122,Champions_League,CL
2021-12-07,Shakhtar Donetsk,FC Sheriff Tiraspol,1,1,D,Donatas Rumšas,0.0,0.0,13.17,9.0,3.33,3.5,10.5,10.67,12.17,12.0,0.83,2.17,0.0,0.0,2122,Champions_League,CL
